attributes,sion,bern_large,plateau,neuchatel,lausanne_lake,zurich_large,stgallen,bern,lausanne,zurich_kreis,frutigen,locarno,linthal,zermatt,lugano,luzern
street_d_km,1883.3143289846948,4030.1048628694757,4320.706914839426,2360.593844924655,5887.940043516514,6727.320682644933,4093.045837592045,7780.315861895048,8562.003410438798,8246.946745813526,2489.015658458588,829.1907888694518,2264.2876083976325,2804.7175716946617,9612.416400111084,6858.289465661174
circuity_avg,1.1289949885981736,1.0497550009060646,1.0490854989436111,1.0652645694224352,1.0629776207997645,1.0378826409586972,1.0858680830088465,1.0444993477648328,1.0506571306853687,1.0283457995696481,1.1264717569143523,1.1487815984607543,1.1133100312808812,1.1835366586881624,1.1265711524719186,1.0808613460236198
avg_degree,4.510416667,4.500308452,4.603672986,4.443232994,4.360478511,4.226645123,4.425811292,4.567448902,4.277728006,4.148603189,4.291269539,4.488731772,4.642733863,4.243902439,4.375555556,4.3296126066973075
avg_neighbor_degree,"[8832, 1.0, 5.0, 2.5126604015700438]","[12968, 1.0, 5.0, 2.5177835184042756]","[13504, 1.0, 4.0, 2.567108511058447]","[8438, 1.0, 4.25, 2.4429406652445302]","[11285, 0.5, 5.0, 2.4074582779500844]","[13616, 1.0, 4.5, 2.365813503721107]","[5331, 1.0, 5.0, 2.5294378790720997]","[6605, 1.0, 5.0, 2.520254857431237]","[5581, 0.5, 5.0, 2.3682792808935065]","[6837, 1.0, 4.5, 2.306572083272391]","[2623, 1.0, 4.0, 2.4306773414665117]","[2263, 0.5, 4.0, 2.4601561349241448]","[2897, 1.0, 5.0, 2.5987803474859046]","[1025, 1.0, 4.0, 2.3553658536585362]","[1800, 1.0, 4.0, 2.5377314814814826]","[1523, 1.0, 4.0, 2.4629568833442774]"
degree_centrality,"[8832, 0.00022647491790284225, 0.0013588495074170536, 0.0005107481221454714]","[12968, 0.0001542376802652888, 0.000771188401326444, 0.0003470585680244576]","[13504, 0.0001481152336517811, 0.0007405761682589055, 0.0003409370499727655]","[8438, 0.00023705108450871164, 0.0011852554225435582, 0.0005266365999289513]","[11285, 0.0001772421127259837, 0.0008862105636299185, 0.0003864302119194074]","[13616, 0.00014689680499449138, 0.0007344840249724569, 0.0003104403322353832]","[5331, 0.000375234521575985, 0.001876172607879925, 0.0008303585914522255]","[6605, 0.0003028467595396729, 0.0015142337976983646, 0.0006916185497193764]","[5581, 0.00035842293906810036, 0.0017921146953405018, 0.0007666179221744637]","[6837, 0.0002925687536571094, 0.001462843768285547, 0.0006068758321434902]","[2623, 0.0007627765064836003, 0.0030511060259344014, 0.0016366397935531315]","[2263, 0.0008841732979664014, 0.003978779840848806, 0.001984408387260834]","[2897, 0.0006906077348066298, 0.003453038674033149, 0.00160315395808577]","[1025, 0.001953125, 0.0078125, 0.004144435975609756]","[1800, 0.0011117287381878821, 0.00555864369093941, 0.0024322154283243696]","[1523, 0.001314060446780552, 0.005256241787122208, 0.0028446863381717128]"
avg_degree_connectivity,"[9, 1.7242798353909465, 2.9107142857142856, 2.5063485466340616]","[12968, 0.0001542376802652888, 0.000771188401326444, 0.0003470585680244576]","[8, 1.7893772893772895, 2.7351134215500945, 2.5257011913696616]","[9, 1.7510339123242349, 3.3333333333333335, 2.542680816443378]","[9, 1.837874659400545, 2.814814814814815, 2.4440104138726064]","[9, 1.8331843908251415, 3.033333333333333, 2.492170259204495]","[9, 1.7953216374269005, 2.820075757575758, 2.532678183562176]","[6605, 0.0003028467595396729, 0.0015142337976983646, 0.0006916185497193764]","[5581, 0.00035842293906810036, 0.0017921146953405018, 0.0007666179221744637]","[9, 1.92496765847348, 2.632142857142857, 2.3874645770595553]","[2623, 0.0007627765064836003, 0.0030511060259344014, 0.0016366397935531315]","[8, 1.7241379310344827, 2.9771428571428573, 2.4962343642957334]","[8, 2.3, 2.9793165467625897, 2.6331116286260174]","[7, 1.91869918699187, 2.80625, 2.405390839300723]","[9, 1.8825757575757576, 2.831887201735358, 2.440234210090774]","[7, 1.9014084507042253, 2.7023809523809526, 2.448940763740694]"
avg_edge_density,0.000255374,0.000173529,0.000170469,0.000263318,0.000193215,0.00015522,0.000415179,0.000345809,0.000383309,0.000303438,0.00081832,0.000992204,0.000801577,0.002072218,0.001216108,0.0014223431690858436
avg_shortest_path_duration,1793.82153,867.6280956,1184.056464,1228.164201,875.3065486,647.0820159,742.0709304,492.0004039,443.6971277,393.8850421,1196.24173,1818.387126,804.8744894,1836.994543,385.7407228,333.93673985956474
node_betweenness*,"[8832, 0.0, 0.25368858518964327, 0.013200012069197494]","[12968, 0.0, 0.13701834463666182, 0.00813170848683433]","[13504, 0.0, 0.23752741001185043, 0.009534208483990714]","[8438, 0.0, 0.3146265015132098, 0.013144371376501315]","[11285, 0.0, 0.1934406720239246, 0.010223628856805172]","[13616, 0.0, 0.12020993704985272, 0.006961064435712037]","[5331, 0.0, 0.21494460027383883, 0.015321317603780409]","[6605, 0.0, 0.18939792339678577, 0.01129383798377355]","[5581, 0.0, 0.1513218090625303, 0.013202064705718707]","[6837, 0.0, 0.14642556746995017, 0.01017478774024271]","[2623, 0.0, 0.49939816031460965, 0.034188757962528966]","[2263, 0.0, 0.5741833519670607, 0.03971480219219267]","[2897, 0.0, 0.49734611017280694, 0.03497051865015845]","[1025, 0.0, 0.5337672974706745, 0.06741825308305296]","[1800, 0.0, 0.38812874041381284, 0.0222103220804978]","[1523, 0.0, 0.4359350175078468, 0.030029026744672067]"
edge_betweenness,"[19883, 1.282127026170982e-08, 0.09118312803916945, 0.004560935006845309]","[29070, 0.0, 0.09974293404914066, 0.0029696688682230737]","[30977, 0.0, 0.23839949862426368, 0.0037056012425034004]","[18669, 0.0, 0.12496544107206146, 0.004502160662072552]","[24523, 0.0, 0.18090172082499376, 0.003955799717342723]","[28699, 0.0, 0.12005480547196835, 0.002820615212032391]","[11740, 0.0, 0.12699196564824106, 0.005580824745368965]","[15005, 0.0, 0.0752182134456588, 0.004127839630677044]","[11907, 0.0, 0.1003515874704191, 0.004985128818944446]","[14165, 0.0, 0.10490748983623877, 0.004098589457532948]","[5617, 0.0, 0.23204016037762776, 0.012313073512292227]","[5056, 7.814169668284591e-07, 0.2266558518558458, 0.016872708609113555]","[6713, 1.1919360283165859e-07, 0.23424292111870548, 0.013485502186172211]","[2171, 3.8109756097560976e-06, 0.2531169282763857, 0.030178528672017747]","[3921, 6.176270767710456e-07, 0.12262541719806913, 0.008848490549195242]","[3288, 0.0, 0.18856228154715732, 0.011878663629204159]"
